Area,District,Shop,Location,Part Code,Description,Brand,Product Family,Quantity,Selling Price,Inventory Value,Stock Status,MRP,MOP,Current Discount %,Comments / Discount Guideline,Remark,Commented By,Comment Date,Comment Time,Last Updated
SOUTH REGION SABARAGAMUWA   AREA,RATHNAPURA  DISTRICT,KALAWANA,REVERTS,LF-R90-2S-S,SPECIAL TEMPO W/ROBE,SINGER,FURNITURE - MODULER,1,94399,94399,L,94399,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
SOUTH REGION UVA  AREA,BADULLA  DISTRICT,BANDARAWELA B,RTNWHDAMAGED,LF-R90-2S-S,SPECIAL TEMPO W/ROBE,SINGER,FURNITURE - MODULER,1,94399,94399,L,94399,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
SOUTH REGION UVA  AREA,BADULLA  DISTRICT,BANDARAWELA B,PRODUCTRELEASE,LF-R90-2S-S,SPECIAL TEMPO W/ROBE,SINGER,FURNITURE - MODULER,1,94399,94399,L,94399,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
SOUTH REGION UVA  AREA,BADULLA  DISTRICT,DIYATHALAWA,DAMAGED,LF-R90-2S-WNT-S,CHELSEA WARDROBE WALNUT,SINGER,FURNITURE - MODULER,1,94399,94399,L,94399,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
SOUTH REGION UVA  AREA,BADULLA  DISTRICT,BANDARAWELA,FIO,LF-R90-2S-S,SPECIAL TEMPO W/ROBE,SINGER,FURNITURE - MODULER,1,94399,94399,L,94399,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,HORANA WH CLEARANCE,NORMAL,LF-R90-2S-CHY-S,CHELSEA WARDROBE - CHERRY,SINGER,FURNITURE - MODULER,1,94399,94399,L,94399,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,HORANA WH CLEARANCE,TRANSIT,LF-R90-2S-S,SPECIAL TEMPO W/ROBE,SINGER,FURNITURE - MODULER,1,94399,94399,L,94399,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,HORANA WH CLEARANCE,DAMAGED,LF-R90-2S-WNT-S,CHELSEA WARDROBE WALNUT,SINGER,FURNITURE - MODULER,1,94399,94399,L,94399,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
NORTH REGION CENTRAL  AREA,GAMPOLA  DISTRICT,NUWARAELIYA A,DAMAGED,SLFEGATE-CT101W,2 IN 1 NB SL FOUNDATION,SINGER,COMPUTER - SINGER,2,47199,94398,O,47199,9440,80.0%,,,,,,
NORTH REGION CENTRAL  AREA,KANDY  DISTRICT,SHOMES- KANDY,NORMAL,PM-COMP-4,POWERMAX COMPLETE 433 PANEL,SINGER,SECURITY SYSTEMS,2,47199,94398,A,47199,0,0.0%,,Shop use,Rashmi,2026-08-19,18:34:09,2026-08-19T13:04:09.805Z
SOUTH REGION SOUTH & SABARAGAMUWA AREA,SERVICE -RATHNAPURA  DISTRICT,SERVICE-RATHNAPURA,ARPENDING,OF-COM-T-S,O/FUR.COMPUTER TABLE,SINGER,FURNITURE -  OFFICE,4,23599,94396,L,23599,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
MEGA COLOMBO METRO  ZONE,MEGA COLOMBO METRO ZONE- DISTRICT,MEGA -COLPETTY,DISPLAY,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
MEGA NORTH ZONE,MEGA NORTH ZONE- DISTRICT,MEGA -MALABE,DISPLAY,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
MEGA NORTH ZONE,MEGA NORTH ZONE- DISTRICT,MEGA-KIRIBATHGODA,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
MEGA NORTH ZONE,MEGA NORTH ZONE- DISTRICT,MEGA-NEGOMBO,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
MEGA NORTH ZONE,MEGA NORTH ZONE- DISTRICT,MEGA -KURUNAGALA,DISPLAY,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
MEGA SOUTH ZONE,MEGA SOUTH ZONE- DISTRICT,MEGA-MATARA,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
MEGA SOUTH ZONE,MEGA SOUTH ZONE- DISTRICT,MEGA -PANADURA,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
MEGA SOUTH ZONE,MEGA SOUTH ZONE- DISTRICT,SHOMES-RATHMALANA,CLEARANCE,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
MEGA SOUTH ZONE,MEGA SOUTH ZONE- DISTRICT,SHOMES-RATHMALANA,DISPLAY,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
MEGA SOUTH ZONE,MEGA SOUTH ZONE- DISTRICT,MEGA -BORALASGAMUWA,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
MEGA SOUTH ZONE,MEGA SOUTH ZONE- DISTRICT,MEGA -KOTTAWA,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
MEGA SOUTH ZONE,MEGA SOUTH ZONE- DISTRICT,MEGA-RAJAGIRIYA,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
MEGA SOUTH ZONE,MEGA SOUTH ZONE- DISTRICT,MEGA-MOUNT LAVINIA,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
MEGA SOUTH ZONE,MEGA SOUTH ZONE- DISTRICT,MEGA -KATUBEDDA,DISPLAY,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
NORTH REGION CENTRAL,SERVICE -PASYALA DISTRICT,SERVICE -PASYALA,LOAN,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
NORTH REGION CENTRAL  AREA,KANDY  DISTRICT,PILIMATHALAWA,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",10%,Rashmi,2026-08-19,18:48:25,2026-08-19T13:18:25.533Z
NORTH REGION COLOMBO  AREA NORTH,KADAWATHA  DISTRICT,SHOMES-KADAWATHA,DISPLAY,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
NORTH REGION COLOMBO  AREA NORTH,NEGOMBO DISTRICT,DANKOTUWA,DAMAGED,KLV-40R352C,SONY LED TV,SONY,TELEVISIONS - LED,1,94299,94299,O,94299,0,0.0%,Up to 40%,,,,,
NORTH REGION COLOMBO  AREA NORTH,KADAWATHA  DISTRICT,KADAWATHA A,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
NORTH REGION COLOMBO  AREA NORTH,NITTAMBUWA   DISTRICT,NITTAMBUWA,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
NORTH REGION EAST AREA,BATTICALOA  DISTRICT,BATTICALOA B,DAMAGED,KLV-40R352C,SONY LED TV,SONY,TELEVISIONS - LED,1,94299,94299,O,94299,0,0.0%,Up to 40%,60% Discount,Gayan Sooriyaarachchi,2026-08-19,11:48:49,2026-08-19T06:18:49.377Z
NORTH REGION NORTH  AREA,VAVUNIYA DISTRICT,MANNAR,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
NORTH REGION WAYAMBA  AREA,NIKAWARATIYA DISTRICT,KATUPOTHA,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
NORTH REGION WAYAMBA  AREA,MATALE DISTRICT,SHOMES- MATALE,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
SOUTH REGION COLOMBO  AREA SOUTH,KALUTARA   DISTRICT,SHOMES-KALUTARA,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
SOUTH REGION COLOMBO  AREA SOUTH,PANADURA  DISTRICT,KESBEWA,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
SOUTH REGION COLOMBO METRO  AREA,MAHARAGAMA DISTRICT,HANWELLA,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
SOUTH REGION COLOMBO METRO  AREA,BORELLA  DISTRICT,BORALESGAMUWA,DISPLAY,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
SOUTH REGION COLOMBO METRO  AREA,KADUWELA  DISTRICT,BATTARAMULLA,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
SOUTH REGION COLOMBO METRO  AREA,KADUWELA  DISTRICT,BATTARAMULLA,DISPLAY,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
SOUTH REGION COLOMBO METRO  AREA,BAMBALAPITIYA  DISTRICT,COLPETTY,DISPLAY,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
SOUTH REGION SABARAGAMUWA   AREA,KEGALLE  DISTRICT,KEGALLE,DISPLAY,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
SOUTH REGION SABARAGAMUWA   AREA,KEGALLE  DISTRICT,DERANIYAGALA,DISPLAY,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",70%,Punesha,2026-08-19,17:45:50,2026-08-19T12:15:50.635Z
SOUTH REGION SOUTH  AREA,MATARA  DISTRICT,MATARA-A,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
SOUTH REGION SOUTH  AREA,MATARA  DISTRICT,MATARA-A,DISPLAY,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
SOUTH REGION SOUTH  AREA,MATARA  DISTRICT,TANGALLE,NORMAL,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
SOUTH REGION UVA  AREA,BADULLA  DISTRICT,HALI-ELA,DISPLAY,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
SOUTH REGION UVA  AREA,BADULLA  DISTRICT,BANDARAWELA,PRODUCTRELEASE,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,PILIYANDALA FACTORY,CLEARANCE,SPM-78X60,FURNITURE FACTORY MATTRESS,SINGER,FURNITURE-MATTRESS - SPRING,1,94299,94299,A,94299,84869,10.0%,"active location extra 10%, increase based on the condition",,,,,
MEGA SOUTH ZONE,MEGA SOUTH ZONE- DISTRICT,MEGA -BEKO & SONY,PRODUCTRELEASE,BV-MEGA2-CG,BLACKVIEW MEGA 2  (CELESTIAL GRAY),BLACKVIEW,PHONE - MEDIA PAD,1,93999,93999,A,93999,0,0.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
NORTH REGION CENTRAL  AREA,GAMPOLA  DISTRICT,GAMPOLA B,REVERTS,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,SINGER,FURNITURE-BEDS - SOLID,1,93999,93999,O,93999,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
NORTH REGION CENTRAL  AREA,KANDY  DISTRICT,SHOMES- KANDY,NORMAL,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,SINGER,FURNITURE-BEDS - SOLID,1,93999,93999,O,93999,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
NORTH REGION COLOMBO  AREA NORTH,PELIYAGODA  DISTRICT,KANDANA,NORMAL,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,SINGER,FURNITURE-BEDS - SOLID,1,93999,93999,O,93999,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
NORTH REGION COLOMBO  AREA NORTH,KADAWATHA  DISTRICT,PUGODA,DAMAGED,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,SINGER,FURNITURE-BEDS - SOLID,1,93999,93999,O,93999,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
NORTH REGION EAST AREA,POLONNARUWA   DISTRICT,DIYASENAPURA,DISPLAY,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,SINGER,FURNITURE-BEDS - SOLID,1,93999,93999,O,93999,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
NORTH REGION NORTH  AREA,VAVUNIYA DISTRICT,PUTHUKKUDIYIRUPPU,DISPLAY,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,SINGER,FURNITURE-BEDS - SOLID,1,93999,93999,O,93999,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
NORTH REGION NORTH  AREA,JAFFNA  DISTRICT,KODIKAMAM,NORMAL,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,SINGER,FURNITURE-BEDS - SOLID,1,93999,93999,O,93999,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
NORTH REGION NORTH  AREA,JAFFNA  DISTRICT,CHANKANI,DISPLAY,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,SINGER,FURNITURE-BEDS - SOLID,1,93999,93999,O,93999,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
SOUTH REGION COLOMBO  AREA SOUTH,AMBALANGODA  DISTRICT,ELPITIYA,NORMAL,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,SINGER,FURNITURE-BEDS - SOLID,1,93999,93999,O,93999,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
SOUTH REGION COLOMBO  AREA SOUTH,AMBALANGODA  DISTRICT,ELPITIYA,DISPLAY,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,SINGER,FURNITURE-BEDS - SOLID,1,93999,93999,O,93999,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
SOUTH REGION COLOMBO METRO  AREA,MAHARAGAMA DISTRICT,KOTTAWA,DISPLAY,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,SINGER,FURNITURE-BEDS - SOLID,1,93999,93999,O,93999,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
SOUTH REGION SABARAGAMUWA   AREA,KEGALLE  DISTRICT,DERANIYAGALA,DISPLAY,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,SINGER,FURNITURE-BEDS - SOLID,1,93999,93999,O,93999,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
SOUTH REGION UVA  AREA,BADULLA  DISTRICT,BADULLA B,NORMAL,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,SINGER,FURNITURE-BEDS - SOLID,1,93999,93999,O,93999,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
SOUTH REGION UVA  AREA,BADULLA  DISTRICT,BANDARAWELA,NORMAL,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,SINGER,FURNITURE-BEDS - SOLID,1,93999,93999,O,93999,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
SOUTH REGION UVA  AREA,BADULLA  DISTRICT,HAPUTHALE,NORMAL,WFL-CRYSTAL-75X60-S,CRYSTAL TEAK BED - 75X60,SINGER,FURNITURE-BEDS - SOLID,1,93999,93999,O,93999,0,0.0%,50% offered for L and O locations Based on the condition go further with 10% portions,,,,,
MEGA SOUTH ZONE,MEGA SOUTH ZONE- DISTRICT,MEGA -BEKO & SONY,NORMAL,ZTE-V50DESIGN-8-256GB-B,ZTE-V50DESIGN-8-256GB-BLACK,ZTE,PHONE - SMART,2,46999,93998,O,46999,14100,70.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,HORANA WH CLEARANCE,CLEARANCE,ZTE-V50DESIGN-8-256GB-B,ZTE-V50DESIGN-8-256GB-BLACK,ZTE,PHONE - SMART,2,46999,93998,O,46999,14100,70.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
MEGA NORTH ZONE,MEGA NORTH ZONE- DISTRICT,MEGA-KANDY,NORMAL,BRU-FP3233,BRAUN PUREEASE FOOD PROCESSOR,BRAUN,KITCHENAPP -SMALL KITCHEN APPLIANCE,2,46999,93998,A,46999,44649,5.0%,Provide additional 30% for display units and total upto 80% for damage units,,,,,
MEGA SOUTH ZONE,MEGA SOUTH ZONE- DISTRICT,MEGA-MATARA,NORMAL,PN-F-409UNBAMKH,PANASONIC WALL FAN WITH REMOTE - F-409UNBAMKH,PANASONIC,FANS,2,46999,93998,A,46999,29139,38.0%,"Do not offer discounts for this SKU, as it is an active SKU. For damaged units, a discount of up to 50% may be considered based on the condition",,,,,
MEGA SOUTH ZONE,MEGA SOUTH ZONE- DISTRICT,MEGA-MOUNT LAVINIA,NORMAL,PN-F-409UNBAMKH,PANASONIC WALL FAN WITH REMOTE - F-409UNBAMKH,PANASONIC,FANS,2,46999,93998,A,46999,29139,38.0%,"Do not offer discounts for this SKU, as it is an active SKU. For damaged units, a discount of up to 50% may be considered based on the condition",,,,,
NORTH REGION NORTH  AREA,ANURADHAPURA  DISTRICT,ANURADHAPURA B,NORMAL,BRU-FP3233,BRAUN PUREEASE FOOD PROCESSOR,BRAUN,KITCHENAPP -SMALL KITCHEN APPLIANCE,2,46999,93998,A,46999,44649,5.0%,Provide additional 30% for display units and total upto 80% for damage units,,,,,
NORTH REGION CENTRAL  AREA,GAMPOLA  DISTRICT,PUSSELLAWA,NORMAL,NGT323D,NIKAI TOASTER - 3 IN 1 (3 Detachable plates),NIKAI,KITCHENAPP -SMALL KITCHEN APPLIANCE,5,18799,93995,A,18799,7520,60.0%,Provide additional 30% for display units and total upto 80% for damage units,,,,,
MEGA COLOMBO METRO  ZONE,MEGA COLOMBO METRO ZONE- DISTRICT,MEGA - SHANGRI-LA,NORMAL,BD-BX600G-B5,BLACK AND DECKER  600W BLENDER W GRINDER & CHOPPER,BLACK & DECKER,KITCHENAPP-GRINDERS & BLENDERS,2,46900,93800,A,46900,0,0.0%,Provide additional 30% for display units and total upto 80% for damage units,,,,,
MEGA COLOMBO METRO  ZONE,MEGA COLOMBO METRO ZONE- DISTRICT,MEGA - SHANGRI-LA,DISPLAY,BD-FM1500-B5,BLACK&DECKER 1500 W MEAT MINCER,BLACK & DECKER,KITCHENAPP -SMALL KITCHEN APPLIANCE,2,46900,93800,A,46900,0,0.0%,Provide additional 30% for display units and total upto 80% for damage units,,,,,
DIGITAL DEVICE SERVICE,SERVICE -MOBILE PHONE,SERVICE-DIGITAL-SERV,NORMAL,SMG-SM-A055F-64-B,SAMSUNG GALAXY A05 (4GB + 64GB) (BLACK),SAMSUNG,PHONE - SMART,2,46899,93798,O,46899,23450,50.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
NORTH REGION EAST AREA,AMPARA   DISTRICT,KALMUNAI B,NORMAL,SMG-SM-A055F-64-G,SAMSUNG GALAXY A05 (4GB + 64GB) (GREEN),SAMSUNG,PHONE - SMART,2,46899,93798,O,46899,23450,50.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
NORTH REGION EAST AREA,DAMBULLA  DISTRICT,BUDGET SHOP-DAMBULLA,CLEARANCE,SMG-SM-A055F-64-G,SAMSUNG GALAXY A05 (4GB + 64GB) (GREEN),SAMSUNG,PHONE - SMART,2,46899,93798,O,46899,23450,50.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",80% - Damaged,Kaveesha De Silva,2026-08-17,11:55:30,2026-08-17T06:25:30.365Z
NORTH REGION EAST AREA,POLONNARUWA   DISTRICT,ARALAGANWILA,NORMAL,SMG-SM-A055F-64-B,SAMSUNG GALAXY A05 (4GB + 64GB) (BLACK),SAMSUNG,PHONE - SMART,2,46899,93798,O,46899,23450,50.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
SOUTH REGION COLOMBO  AREA SOUTH,AMBALANGODA  DISTRICT,THALGASWALA,NORMAL,SMG-SM-A055F-64-G,SAMSUNG GALAXY A05 (4GB + 64GB) (GREEN),SAMSUNG,PHONE - SMART,2,46899,93798,O,46899,23450,50.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
SOUTH REGION SABARAGAMUWA   AREA,RATHNAPURA  DISTRICT,BUDGET SHOP-E-GODA,CLEARANCE,SMG-SM-A055F-64-B,SAMSUNG GALAXY A05 (4GB + 64GB) (BLACK),SAMSUNG,PHONE - SMART,2,46899,93798,O,46899,23450,50.0%,"Displayed/Unboxed - 15% Additional Discount, Considering the severity of the damage (battery issues, display damage, and scratch marks), a discount of 50% to 70%, Parts missing (Cable, Adapter) Upto 50% - 60% Discount.",,,,,
NORTH REGION CENTRAL  AREA,GAMPOLA  DISTRICT,WALAPANE,REVERTCLOSE,SPAS81BT,SINGER SPEAKER SYSTEM WITH BLUTOOTH,SINGER,AUDIOS,2,46799,93598,O,46799,14040,70.0%,0.85,,,,,
NORTH REGION EAST AREA,POLONNARUWA   DISTRICT,DIYASENAPURA,REVERTS,SPAS81BT,SINGER SPEAKER SYSTEM WITH BLUTOOTH,SINGER,AUDIOS,2,46799,93598,O,46799,14040,70.0%,0.85,,,,,
NORTH REGION WAYAMBA  AREA,CHILAW  DISTRICT,KULIYAPITIYA,REVERTS,SPAS81BT,SINGER SPEAKER SYSTEM WITH BLUTOOTH,SINGER,AUDIOS,2,46799,93598,O,46799,14040,70.0%,0.85,,,,,
WAREHOUSE-AREA,WAREHOUSE-DISTRICT,MOBILE ADVANTI.EKALA,BRDM,TL-WA850RE,300 MBPS WIFI RANGE EXTENDER TPLINK,TP LINK,OTHER PRODUCTS & ACCESSORIES,17,5499,93483,A,5499,0,0.0%,,,,,,
NORTH REGION CENTRAL  AREA,KANDY  DISTRICT,MAWANELLA - B,REVERTS,DELL-3583-PQC-W10-BLK,3583 PQC 4GB RAM 1TB HDD INTEL UHD,DELL,COMPUTERS & LAPTOPS - OTHER BRANDED,1,93299,93299,O,93299,0,0.0%,"Any Display Issues - 50-60%, Keyboard/Touchpad Issues - 30%, Battery Issues 50-60%.
Unboxed or Displayed Products - 10%
If Parts N/A - 30%
Special Note - If products are not physically available in shop or products are used by shop - 50%",60%,Rashmi,2026-08-13,22:26:53,2026-08-13T16:56:53.392Z
